# Identification List of Lines in Stellar Spectra (2951 A - 1.32 um)
 3422.656   FeI         85                 7.     
 3422.661   TiII        63                 1.      
 3422.708   CeII        144              300.     
 3422.739   CrII        3                125.     
 3422.751   GdII        8                500.     
 3422.878   NiI         122                4.     
 3422.900   CoI         42                 4.     
 3423.172   TiI         120                2.     
 3423.35    CoI         121                1.      
 3423.711   NiI         20                50.      
 3423.82    ZrII                           3.      
 3423.85    CoII        2                 75.     
 3423.853   CeII        131               20.      
 3423.9     LaII        144                5.     
 3423.92    GdII        7               1500.     
 3424.16    Y I                            7.     
 3424.17    FeII  P  P  116        
 3424.284   FeI         81                10.     
 3424.43    CrII  P  P  8        
 3424.500   CoI         103               10.     
 3424.592   GdII        22              1200.     
 3424.64    ZrII        85                 1.     
 3424.82    ZrII        2                  7.     
 3424.88    P II        3                  6.     
 3425.009   FeI         541                4.     
 3425.022   EuII        20                80.     
 3425.070   V I                            6.     
 3425.082   TmII        7                300.     
 3425.09    CrII  P  P  8        
 3425.432   NbII        7                300.      
 3425.57    O V         3                  0.      
 3425.582   FeII        5                  3.     
 3425.624   GdII        91                50.     
 3425.630   TmII        3                150.     
 3425.8     [NeV  ]  N   1        
 3425.930   GdII        23               600.     
 3425.96    CrI         158                4.     
 3426.      O VI  P  P  6        
 3426.09    FeI   P  P  502                        
 3426.13    CrII        111                8.     
 3426.20    P II        3                  4.     
 3426.208   CeII        44               250.     
 3426.337   FeI         135                2.      
 3426.342   GdII        73                50.     
 3426.383   FeI         25,82              5.     
 3426.562   NbII        7                250.      
 3426.583   CeII        51                 4.      
 3426.637   FeI         82                 5.     
 3426.67    FeI   P  P  615                        
 3426.81    FeII  P  P  103        
 3427.002   FeI         26                 2.     
 3427.121   FeI         81                20.     
 3427.332   CeIII       2                125.     
 3427.362   GdII        91                80.     
 3427.57    LaII        132                8.     
 3428.01    FeI   P  P  616                        
 3428.192   FeI         81                 8.     
 3428.24    [FeII ]  F  27        
 3428.37    HfII        2                 20.     
 3428.41    FeI   P  P  302                        
 3428.42    NiI   P  P  123        
 3428.467   GdII        90               500.     
 3428.64    FeII  P  P  90        
 3428.67    O III       15                 3.     
 3428.746   FeI         836                2.      
 3428.76    NeII        42                 5.     
 3428.8     [FeIII]  F  5        
 3428.916   AlII        25                 6.     
 3428.94    CrII        99                 7.     
 3428.955   TiI         168                4.     
 3429.206   ScI         21                 3.     
 3429.42    Y II        77                 3.      
 3429.483   ScI         21                 3.     
 3429.64    ArII        107                3.     
 3429.80    FeI   P  P  244                        
 3429.82    FeI   P  P  540                        
 3430.15    FeII  P  P  89        
 3430.238   GdII        91                40.     
 3430.29    ZrI         17                 8.     
 3430.3     [FeV  ]  F  4        
 3430.42    CrII        67                 3.     
 3430.44    ArII        59                 4.     
 3430.53    ZrII        11                30.     
 3430.60    O III       15                 4.     
 3430.772   RuI         3                  7.      
 3430.874   TiI         120                2.     
 3430.88    FeI   P  P  614                        
 3431.08    TiI   P  P  135        
 3431.195   TmII        12               100.     
 3431.284   CrI         53                10.     
 3431.358   ScI         21                 3.     
 3431.45    CrII  P  P  8        
 3431.57    ZrII        59                 6.     
 3431.582   CoI         6                 50.      
 3431.59    CrI         53                 3.     
 3431.69    CrI         53                 4.     
 3431.815   FeI         376,676            3.     
 3431.995   CrI         53                 7.     
 3432.023   FeI         377                1.      
 3432.12    CrII  P  P  8        
 3432.31    CrI         53                 8.     
 3432.318   CoI         102                3.     
 3432.32    CrII        8                  2.     
 3432.41    ZrII        58                 7.     
 3432.64    ArII        107                2.     
 3432.708   NbII                         400.     
 3432.81    LaII        113                5.     
 3432.97    FeIII       67                 3.     
 3432.994   GdII        22              1500.     
 3433.      O VI  P  P  8        
 3433.045   CoI         23                60.      
 3433.091   CeII        249               50.     
 3433.30    CrII        3                 75.     
 3433.44    PdI         11               250.     
 3433.558   NiI         19                70.      
 3433.598   CrI         52                50.     
 3433.767   V II        134                3.     
 3433.90    ZrII        58                 8.     
 3434.      O VI  P  P  9        
 3434.024   V II        104                4.     
 3434.029   FeI         300                1.      
 3434.112   CrI         52                20.     
 3434.46    V II        134                1.     
 3434.57    RhII  P  P  1        
 3434.69    TiI   P  P  121        
 3434.893   RhI         2                200.      
 3434.95    FeI   P  P  776                        
 3435.38    V II        133                7.     
 3435.432   TiI                            3.     
 3435.488   CrI         53                 3.     
 3435.489   NiI         53                 2.     
 3435.555   ScI         21                 5.     
 3435.679   CrI         52                10.     
 3435.819   CrI   *  *  53                 6.      
