   3991.78       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-G[5]        7/2-9/2                                               131918.80 -   156963.20 001
   3997.93       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-G[3]        5/2-7/2                                               131677.10 -   156683.00 001
   3999.03       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-G[3]        5/2-5/2                                               131677.10 -   156676.10 001
   4002.59       1.0E-01  Si II      E1                        3s.3p2-3s.3p.(3Po).3d                        2P-2Do         1/2-3/2  2.51E+03 1.21E-05 3.19E-04  -4.6168     3     83801.95 -   108778.70 001
   4016.18       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f.                      2Fo-G[4]        7/2-7/2                                               131918.80 -   156811.00 001
   4016.18       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f.                      2Fo-G[4]        7/2-9/2                                               131918.80 -   156811.00 001
   4028.46       1.0E-01  Si II      E1                        3s.3p2-3s.3p.(3Po).3d                        2P-2Do         3/2-5/2  2.96E+03 1.08E-05 5.73E-04  -4.3643     3     84004.26 -   108820.60 001
   4035.28       1.0E-01  Si II      E1                        3s.3p2-3s.3p.(3Po).3d                        2P-2Do         3/2-3/2  4.91E+02 1.20E-06 6.37E-05  -5.3193     3     84004.26 -   108778.70 001
   4036.95       1.5E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-G[3]        7/2-7/2                                               131918.80 -   156683.00 001
   4038.07       1.5E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-G[3]        7/2-5/2                                               131918.80 -   156676.10 001
   4056.98       1.0E-01  Si II      E1                   3s2.(1S).4f-3s2.(1S).11g                         2Fo-2G          7/2-*                                                 103556.03 -   128197.90 001
   4057.00       1.0E-01  Si II      E1                   3s2.(1S).4f-3s2.(1S).11g                         2Fo-2G          5/2-*                                                 103556.16 -   128197.90 001
   4072.709      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).5p                           2D-2Po         3/2-3/2  5.72E+05 1.42E-03 7.64E-02  -2.2446     3     79338.50 -   103885.25 001
   4075.452      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).5p                           2D-2Po         5/2-3/2  5.14E+06 8.53E-03 6.87E-01  -1.2906     3     79355.02 -   103885.25 001
   4076.780      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).5p                           2D-2Po         3/2-1/2  5.70E+06 7.11E-03 3.82E-01  -1.5461     3     79338.50 -   103860.74 001
   4128.054      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).4f                           2D-2Fo         3/2-5/2  1.51E+08 5.79E-01 3.15E+01   0.3646     3     79338.50 -   103556.16 001
   4130.872      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).4f                           2D-2Fo         5/2-5/2  1.08E+07 2.75E-02 2.25E+00  -0.7818     3     79355.02 -   103556.16 001
   4130.894      1.5E-02  Si II      E1                   3s2.(1S).3d-3s2.(1S).4f                           2D-2Fo         5/2-7/2  1.61E+08 5.51E-01 4.50E+01   0.5192     3     79355.02 -   103556.03 001
   4163.65       1.1E-01  Si II      E1                   3s2.(1S).4d-3s2.(1S).9p                           2D-2Po         3/2-3/2  2.24E+04 5.81E-05 3.19E-03  -3.6336     3    101023.05 -   125033.70 001
   4163.87       1.1E-01  Si II      E1                   3s2.(1S).4d-3s2.(1S).9p                           2D-2Po         5/2-3/2  2.01E+05 3.49E-04 2.87E-02  -2.6794     3    101024.35 -   125033.70 001
   4165.18       1.1E-01  Si II      E1                   3s2.(1S).4d-3s2.(1S).9p                           2D-2Po         3/2-1/2  2.23E+05 2.91E-04 1.59E-02  -2.9348     3    101023.05 -   125024.90 001
   4167.44       1.5E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-F[4]        5/2-7/2                                               131677.10 -   155665.90 001
   4173.07       1.6E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-F[3]        5/2-5/2                                               131677.10 -   155633.50 001
   4174.88       1.6E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-F[2]        5/2-3/2                                               131677.10 -   155623.10 001
